zHD,m_b_corr
0.00122,9.74571
0.00122,9.80286
0.00256,11.4703
0.00256,11.4919
0.00299,11.5227
0.00317,11.5416
0.00331,11.2074
0.00331,11.2998
0.00331,11.1483
0.00331,11.2577
0.00333,12.2481
0.00349,12.5403
0.00349,12.2437
0.00359,12.4439
0.00384,11.7469
0.00407,12.1403
0.00407,12.1249
0.00432,12.246
0.00432,12.3081
0.00465,12.6779
0.00465,12.78
0.00482,11.9946
0.00483,11.8801
0.00483,12.3995
0.00483,11.9704
0.00483,12.087
0.00483,12.5105
0.00488,12.1943
0.00488,12.286
0.00538,12.3982
0.00548,12.4752
0.0057,12.6587
0.0057,12.6455
0.00571,12.4269
0.00571,12.3762
0.00587,12.4873
0.00588,12.9292
0.00592,13.2155
0.00602,12.6874
0.00602,12.8136
0.00602,12.6572
0.00616,11.6549
0.00616,11.9327
0.00625,12.8137
0.00625,12.7493
0.00625,12.8469
0.00625,12.7807
0.0063,12.8224
0.0063,12.8313
0.0063,12.7673
0.00631,13.5803
0.00634,13.1471
0.00648,13.2078
0.00648,13.1808
0.00665,12.4791
0.00668,11.9687
0.00673,13.1063
0.00676,12.7203
0.00677,12.9421
0.00677,12.9199
0.00677,12.9518
0.00692,13.1875
0.0071,13.0663
0.0071,13.0797
0.0071,13.0691
0.00719,13.1893
0.00719,13.2112
0.00747,13.5413
0.00747,13.4893
0.00747,13.5155
0.0075,13.0782
0.0075,13.0468
0.00795,13.3888
0.00814,13.4634
0.00814,13.3621
0.00814,13.4562
0.00815,13.1181
0.00815,13.4904
0.00815,13.4177
0.00817,13.1925
0.00818,13.231
0.00821,13.9608
0.00838,13.268
0.00838,13.4392
0.00855,13.4398
0.00855,13.599
0.00857,13.4997
0.00861,13.4693
0.00863,13.1214
0.00863,13.1415
0.00863,13.082
0.00864,13.1668
0.00883,13.6086
0.00906,13.546
0.00906,13.4968
0.00925,13.6384
0.00925,13.6443
0.00925,13.6629
0.00935,13.0823
0.00954,13.7869
0.00954,13.9605
0.00954,13.9779
0.00954,13.9939
0.00957,13.648
0.00957,13.6124
0.00966,13.5499
0.00966,13.6635
0.00993,14.2223
0.00996,13.3927
0.00996,13.4928
0.00996,13.6485
0.01016,13.5264
0.01017,13.6652
0.01017,13.7144
0.01026,14.0848
0.01026,13.9723
0.01028,14.0258
0.01042,13.8706
0.01044,13.8339
0.01061,14.1276
0.01061,14.0401
0.01073,13.8551
0.01079,13.8153
0.01079,13.9279
0.01096,14.3179
0.01114,14.4807
0.01114,14.3839
0.01122,14.5817
0.01122,14.1806
0.01122,14.2417
0.01155,14.3303
0.01195,14.2444
0.01213,14.6253
0.0122,14.4493
0.01233,14.4873
0.01246,14.5756
0.01258,14.455
0.01258,14.4716
0.01259,14.3344
0.01259,14.2648
0.01279,14.4962
0.01283,14.3835
0.01283,14.2498
0.01303,14.4825
0.01303,14.5077
0.01304,14.3222
0.01304,14.3143
0.01312,14.267
0.01312,14.2187
0.01325,14.7152
0.01325,14.7316
0.01325,14.6717
0.01375,14.544
0.01375,14.5153
0.01375,14.519
0.01376,14.5119
0.01386,14.4211
0.01388,14.4438
0.01389,14.5523
0.01389,14.4121
0.01411,14.5676
0.01424,14.5914
0.01442,14.7657
0.01442,14.7719
0.01442,15.0836
0.01442,14.9251
0.01442,14.999
0.01446,14.6548
0.0145,14.9197
0.01453,14.4996
0.0146,14.6296
0.01462,14.6723
0.01463,14.5023
0.01463,14.4659
0.01467,14.6386
0.01472,14.5364
0.01484,14.7579
0.01492,14.9372
0.01493,14.5994
0.01499,14.721
0.01499,14.6731
0.01515,14.6347
0.01519,14.9263
0.01525,14.5176
0.01529,14.7804
0.01542,15.0896
0.01543,14.8214
0.01546,14.7801
0.01549,15.0202
0.0155,15.0051
0.0155,14.9582
0.0155,14.7464
0.0155,14.6322
0.01557,14.5372
0.01557,14.5542
0.01562,14.9202
0.01562,14.8772
0.01565,15.0787
0.01576,14.9127
0.01578,14.7456
0.01578,14.8167
0.01581,14.7396
0.01581,14.6474
0.01587,15.1386
0.01588,14.7757
0.0159,14.9133
0.0159,14.8793
0.0159,14.7799
0.01603,14.8532
0.01652,15.1607
0.01652,14.7469
0.01656,14.9078
